#Table1
objID,ra,dec,r,rErr,extinction_r,z,zErr
1237652900210606344,358.569433612283,-10.2485137948843,15.50335,0.01927194,0.09743414,0.07543854,1.525916E-05
1237652900210540676,358.422473897159,-10.3230235885473,17.22906,0.01675169,0.09960753,0.08118626,2.528033E-05
1237652946914312290,358.319925679969,-10.5477079157798,16.85936,0.02198205,0.09225437,0.07339385,2.04304E-05
1237652947451314346,358.665431734432,-10.0948970633367,17.35194,0.02440603,0.08050828,0.06454594,2.714638E-05
1237652947451314360,358.673598142411,-10.1485867362768,17.30933,0.02407055,0.08083946,0.07616974,2.544011E-05
1237652900210737248,358.77057395453,-10.3558092853702,16.85343,0.0162241,0.07897468,0.07692101,1.265468E-05
1237652946914377965,358.533507992705,-10.3652752482078,17.68635,0.02866249,0.1063478,0.07658362,3.016022E-05
1237652629097939071,358.49525756104,-10.6919040521055,17.40282,0.1435289,0.08930352,0.0740021,6.817943E-06
1237652946914377903,358.501381659511,-10.3625106996678,16.40548,0.02788408,0.1058619,0.07883325,2.018246E-05
1237652947451379821,358.715891664234,-10.0662591167259,18.66022,0.08162448,0.08061925,0.1063185,6.994659E-06
1237652946914377877,358.47781661311,-10.3971204035347,17.73577,0.02882777,0.1014173,0.07721222,2.859415E-05
1237652946914377838,358.451555774412,-10.414943002915,17.11793,0.02853197,0.09795407,0.08041491,2.422134E-05
1237652629097808060,358.244119856732,-10.6866069826602,15.99136,0.01508533,0.09364696,0.07272016,2.623071E-05
1237652946914312272,358.287498106967,-10.4942805668072,16.45488,0.02234824,0.09222599,0.07654297,2.122246E-05
1237652946914443529,358.614414439947,-10.3706628527699,16.32543,0.02228618,0.0958262,0.07627893,1.927079E-05
1237652946914377833,358.440405283523,-10.564832565258,16.26258,0.02838805,0.0959482,0.07833349,9.460977E-06
